scientificName,scientificNameAuthorship,spec.name.ORIG,genus,family,manual_length,manual_width,sd_manual_length,sd_manual_width
Carex ornithopoda,Willd.,Carex ornithopoda,Carex,Cyperaceae,2.98,1.27,0.175,0.157
Carex cuprina,(Sándor ex Heuff.) Nendtv. ex A.Kern.,Carex otrubae,Carex,Cyperaceae,4.96,2.226,0.238,0.239
Carex leporina,L.,Carex ovalis,Carex,Cyperaceae,3.904,1.87,0.426,0.091
Carex pallescens,L.,Carex pallescens,Carex,Cyperaceae,2.92,1.16,0.115,0.089
Carex panicea,L.,Carex panicea,Carex,Cyperaceae,3.72,1.816,0.362,0.161
Carex paniculata,L.,Carex paniculata,Carex,Cyperaceae,3.44,1.624,0.385,0.104
Carex parviflora,Host,Carex parviflora,Carex,Cyperaceae,3.3,1.95,0.12,0.09
Carex pauciflora,Lightf.,Carex pauciflora,Carex,Cyperaceae,6.692,0.836,0.4,0.076
Carex pendula,Huds.,Carex pendula,Carex,Cyperaceae,3.4,1.192,0.21,0.033
Carex pilosa,Scop.,Carex pilosa,Carex,Cyperaceae,4.82,1.36,0.377,0.225
Carex praecox,Schreb.,Carex praecox,Carex,Cyperaceae,3.15,1.474,0,0.105
Carex pseudobrizoides,Clavaud,Carex pseudobrizoides,Carex,Cyperaceae,4.75,1.43,0.263,0.121
Carex pseudocyperus,L.,Carex pseudocyperus,Carex,Cyperaceae,5.32,1.366,0.291,0.108
Carex pulicaris,L.,Carex pulicaris,Carex,Cyperaceae,5.468,2.468,0.336,0.255
Carex remota,L.,Carex remota,Carex,Cyperaceae,3.432,1.368,0.223,0.066
Carex riparia,Curtis,Carex riparia,Carex,Cyperaceae,5.628,2.22,0.434,0.381
Carex rostrata,Stokes,Carex rostrata,Carex,Cyperaceae,4.81,1.922,0.143,0.173
Carex secalina,Willd. ex Wahlenb.,Carex secalina,Carex,Cyperaceae,6.724,1.558,0.491,0.049
Carex sempervirens,Vill.,Carex sempervirens,Carex,Cyperaceae,5.738,1.684,0.176,0.105
Carex spicata,Huds.,Carex spicata,Carex,Cyperaceae,5.002,2.566,0.345,0.094
Carex strigosa,Huds.,Carex strigosa,Carex,Cyperaceae,4.076,1.05,0.135,0
Carex filiformis,L.,Carex tomentosa,Carex,Cyperaceae,2.17,1.46,0.222,0.185
Carex umbrosa,Host,Carex umbrosa,Carex,Cyperaceae,2.65,1.36,0.24,0.129
Carex vulpina,L.,Carex vulpina,Carex,Cyperaceae,4.398,1.588,0.265,0.175
Carlina acaulis,L.,Carlina acaulis,Carlina,Asteraceae,6.466,1.296,0.342,0.161
Carlina vulgaris,L.,Carlina vulgaris,Carlina,Asteraceae,4.454,1.008,0.193,0.094
Carpinus betulus,L.,Carpinus betulus,Carpinus,Betulaceae,8.432,6.508,1.021,0.461
Carthamus tinctorius,L.,Carthamus tinctorius,Carthamus,Asteraceae,9.16,3.95,0.189,0.24
Carum carvi,L.,Carum carvi,Carum,Apiaceae,5.106,1.368,0.119,0.127
Castanea sativa,Mill.,Castanea sativa,Castanea,Fagaceae,25.8,23.6,1.304,1.517
Catabrosa aquatica,(L.) P.Beauv.,Catabrosa aquatica,Catabrosa,Poaceae,1.54,0.718,0.059,0.073
Catapodium rigidum,(L.) C.E.Hubb.,Catapodium rigidum,Catapodium,Poaceae,1.91,0.53,0.065,0.057
Centaurea diffusa,Lam.,Centaurea diffusa,Centaurea,Asteraceae,2.628,1.114,0.127,0.094
Centaurea jacea,L.,Centaurea jacea,Centaurea,Asteraceae,3.236,1.45,0.292,0.116
Cyanus montanus,(L.) Hill,Centaurea montana,Cyanus,Asteraceae,6.678,2.566,0.703,0.23
Centaurea nigra,L.,Centaurea nigra,Centaurea,Asteraceae,4.538,1.452,0.252,0.172
Centaurea nigrescens,Willd.,Centaurea nigrescens,Centaurea,Asteraceae,3.404,1.452,0.303,0.087
Centaurea phrygia subsp. pseudophrygia,(C.A.Mey.) Gugler,Centaurea pseudophrygia,Centaurea,Asteraceae,5.064,1.452,0.357,0.087
Rhaponticum scariosum subsp. rhaponticum,(L.) Greuter,Centaurea rhapontica,Rhaponticum,Asteraceae,10.354,3.386,0.176,0.163
Centaurea stoebe,L.,Centaurea rhenana,Centaurea,Asteraceae,4.58,1.26,0.244,0
Centaurium erythraea,Rafn,Centaurium erythraea,Centaurium,Gentianaceae,0.34,0.278,0.031,0.024
Centaurium pulchellum,(Sw.) Druce,Centaurium pulchellum,Centaurium,Gentianaceae,0.378,0.3,0.033,0.027
Centranthus ruber,(L.) DC.,Centranthus ruber,Centranthus,Caprifoliaceae,4.58,1.578,0.158,0.074
Anagallis minima,(L.) E.H.L.Krause,Centunculus minimus,Anagallis,Primulaceae,0.584,0.424,0.033,0.013
Cerastium alpinum,L.,Cerastium alpinum,Cerastium,Caryophyllaceae,1.26,0.906,0,0.06
Cerastium arvense,L.,Cerastium arvense,Cerastium,Caryophyllaceae,0.796,0.654,0.061,0.04
Cerastium dubium,(Bastard) Guépin,Cerastium dubium,Cerastium,Caryophyllaceae,0.74,0.61,0,0.045
Cerastium fontanum,Baumg.,Cerastium fontanum,Cerastium,Caryophyllaceae,0.63,0.63,0,0
Cerastium glomeratum,Thuill.,Cerastium glomeratum,Cerastium,Caryophyllaceae,0.432,0.37,0.025,0.021
Cerastium kunthii,Briq.,Cerastium glutinosum,Cerastium,Caryophyllaceae,0.5,0.428,0.044,0.032
Cerastium fontanum subsp. vulgare,(Hartm.) Greuter & Burdet,Cerastium holosteoides,Cerastium,Caryophyllaceae,0.738,0.596,0.062,0.088
Cerastium latifolium,L.,Cerastium latifolium,Cerastium,Caryophyllaceae,2.184,1.788,0.115,0.166
Cerastium pedunculatum,Gaudin,Cerastium pedunculatum,Cerastium,Caryophyllaceae,1.218,0.988,0.094,0.093
Cerastium uniflorum,Clairv.,Cerastium uniflorum,Cerastium,Caryophyllaceae,1.598,1.558,0.172,0.156
Cerinthe glabra,Mill.,Cerinthe glabra,Cerinthe,Boraginaceae,3.678,2.94,0.195,0.257
Cerinthe minor,L.,Cerinthe minor,Cerinthe,Boraginaceae,3.3,2.584,0.191,0.376
Chaenorhinum minus,(L.) Lange,Chaenorhinum minus,Chaenorhinum,Plantaginaceae,0.906,0.61,0.06,0.045
Chaerophyllum aromaticum,L.,Chaerophyllum aromaticum,Chaerophyllum,Apiaceae,10.822,0.772,0.605,0.063
Chaerophyllum aureum,L.,Chaerophyllum aureum,Chaerophyllum,Apiaceae,7.838,1.788,0.094,0.562
Chaerophyllum bulbosum,L.,Chaerophyllum bulbosum,Chaerophyllum,Apiaceae,6.154,1.348,0.31,0.049
Chaerophyllum temulum,L.,Chaerophyllum temulum,Chaerophyllum,Apiaceae,8.738,0.78,0.43,0.055
Erysimum ×cheiri,(L.) Crantz,Cheiranthus cheiri,Erysimum,Brassicaceae,2.628,1.748,0.287,0.176
Chelidonium majus,L.,Chelidonium majus,Chelidonium,Papaveraceae,1.492,0.884,0.018,0.022
Chenopodium ficifolium,Sm.,Chenopodium ficifolium,Chenopodium,Amaranthaceae,1.346,1.284,0.088,0.088
Chenopodium hybridum,L.,Chenopodium hybridum,Chenopodium,Amaranthaceae,1.75,1.56,0.12,0.16
Chenopodium murale,L.,Chenopodium murale,Chenopodium,Amaranthaceae,1.38,1.17,0.091,0.076
Chenopodium rubrum,L.,Chenopodium rubrum,Chenopodium,Amaranthaceae,0.86,0.76,0.041,0.037
Chenopodium vulvaria,L.,Chenopodium vulvaria,Chenopodium,Amaranthaceae,1.438,1.342,0.064,0.074
Tanacetum cinerariifolium,(Trevir.) Sch.Bip.,Chrysanthemum cinerariifolium,Tanacetum,Asteraceae,4.58,1.032,0.355,0.135
Tanacetum corymbosum,(L.) Sch.Bip.,Chrysanthemum corymbosum,Tanacetum,Asteraceae,3.194,0.716,0.119,0.135
Chrysanthemum indicum,L.,Chrysanthemum indicum,Chrysanthemum,Asteraceae,2.208,0.968,0.074,0.087
Tanacetum parthenium,(L.) Sch.Bip.,Chrysanthemum parthenium,Tanacetum,Asteraceae,1.6,0.55,0.045,0.045
Chrysosplenium alternifolium,L.,Chrysosplenium alternifolium,Chrysosplenium,Saxifragaceae,0.638,0.43,0.04,0.044
Chrysosplenium oppositifolium,L.,Chrysosplenium oppositifolium,Chrysosplenium,Saxifragaceae,0.968,0.442,0.087,0.049
Lactuca alpina,(L.) A.Gray,Cicerbita alpina,Lactuca,Asteraceae,4.896,0.906,0.216,0.06
Lactuca plumieri,(L.) Gren. & Godr.,Cicerbita plumieri,Lactuca,Asteraceae,7.604,2.082,0.339,0.215
Cichorium intybus,L.,Cichorium intybus,Cichorium,Asteraceae,2.564,1.346,0.06,0.135
Cicuta virosa,L.,Cicuta virosa,Cicuta,Apiaceae,2.396,1.974,0.173,0.115
Circaea lutetiana,L.,Circaea lutetiana,Circaea,Onagraceae,5.618,1.722,0.364,0.236
Cirsium acaule,(L.) A.A.Weber ex Wigg.,Cirsium acaule,Cirsium,Asteraceae,4.664,1.912,0.216,0.114
Cirsium canum,(L.) All.,Cirsium canum,Cirsium,Asteraceae,3.802,1.496,0.187,0.115
Cirsium eriophorum,(L.) Scop.,Cirsium eriophorum,Cirsium,Asteraceae,4.874,2.226,0.424,0.188
Cirsium erisithales,(Jacq.) Scop.,Cirsium erisithales,Cirsium,Asteraceae,4.266,1.872,0.16,0.087
Cirsium heterophyllum,(L.) Hill,Cirsium heterophyllum,Cirsium,Asteraceae,4.118,1.43,0.087,0.055
Cirsium oleraceum,(L.) Scop.,Cirsium oleraceum,Cirsium,Asteraceae,4.012,1.346,0.187,0.088
Cirsium palustre,(L.) Coss. ex Scop.,Cirsium palustre,Cirsium,Asteraceae,2.566,0.864,0.143,0.135
Cirsium spinosissimum,(L.) Scop.,Cirsium spinosissimum,Cirsium,Asteraceae,4.834,1.6,0.209,0.116
Cirsium tuberosum,(L.) All.,Cirsium tuberosum,Cirsium,Asteraceae,4.328,1.578,0.377,0.268
Cladium mariscus,(L.) Pohl,Cladium mariscus,Cladium,Cyperaceae,4.18,1.9,0.208,0.127
Clematis alpina,(L.) Mill.,Clematis alpina,Clematis,Ranunculaceae,6.238,2.374,0.203,0.094
Clematis recta,L.,Clematis recta,Clematis,Ranunculaceae,9.242,3.68,0.599,0
Clematis vitalba,L.,Clematis vitalba,Clematis,Ranunculaceae,6.372,1.548,0.409,0.134
Centaurea benedicta,(L.) L.,Cnicus benedictus,Centaurea,Asteraceae,7.57,3.02,0.432,0.217
Cochlearia anglica,L.,Cochlearia anglica,Cochlearia,Brassicaceae,1.766,1.242,0.135,0.087
Cochlearia danica,L.,Cochlearia danica,Cochlearia,Brassicaceae,1.828,1.326,0.093,0.06
Cochlearia officinalis,L.,Cochlearia officinalis,Cochlearia,Brassicaceae,1.432,1.054,0.093,0.105
Coleanthus subtilis,(Tratt.) Seidel ex Roem. & Schult.,Coleanthus subtilis,Coleanthus,Poaceae,1.516,0.42,0.094,0
Colutea arborescens,L.,Colutea arborescens,Colutea,Fabaceae,4.35,3.92,0.094,0.16
Comarum palustre,L.,Comarum palustre,Comarum,Rosaceae,1.392,1.174,0.121,0.135
Conium maculatum,L.,Conium maculatum,Conium,Apiaceae,3.108,1.978,0.094,0.262
Conringia orientalis,(L.) Dumort.,Conringia orientalis,Conringia,Brassicaceae,2.566,1.44,0.129,0.062
Convallaria majalis,L.,Convallaria majalis,Convallaria,Asparagaceae,3.62,3.15,0.319,0.374
Convolvulus arvensis,L.,Convolvulus arvensis,Convolvulus,Convolvulaceae,4.056,2.67,0.241,0.338
Calystegia sepium,(L.) R.Br.,Convolvulus sepium,Calystegia,Convolvulaceae,5.504,4.034,0.318,0.218
Erigeron canadensis,L.,Conyza canadensis,Erigeron,Asteraceae,1.074,0.29,0.165,0.021
Coriandrum sativum,L.,Coriandrum sativum,Coriandrum,Apiaceae,5.188,4.348,0.388,0.328
Corispermum pallasii subsp. membranaceum,(Bisch. ex Shnittspalm) Tzvelev,Corispermum leptopterum,Corispermum,Amaranthaceae,3.952,2.628,0.203,0.131
Coronilla vaginalis,Lam.,Coronilla vaginalis,Coronilla,Fabaceae,3.172,1.474,0.114,0.105
Lepidium coronopus,(L.) Al-Shehbaz,Coronopus squamatus,Lepidium,Brassicaceae,3.446,2.67,0.521,0.055
Corydalis cava,(L.) Schweigg. & Körte,Corydalis cava,Corydalis,Papaveraceae,3.102,2.784,0.162,0.323
Corydalis solida,(L.) Clairv.,Corydalis solida,Corydalis,Papaveraceae,2.25,2.08,0.158,0.215
Cotula coronopifolia,L.,Cotula coronopifolia,Cotula,Asteraceae,1.2,0.53,0.055,0
Crambe maritima,L.,Crambe maritima,Crambe,Brassicaceae,4.222,2.858,0.605,0.27
Crataegus monogyna,Jacq.,Crataegus monogyna,Crataegus,Rosaceae,5.65,4.812,0.41,0.29
Crepis alpestris,(Jacq.) Tausch,Crepis alpestris,Crepis,Asteraceae,10.192,0.694,0.826,0.076
Crepis aurea,(L.) Cass.,Crepis aurea,Crepis,Asteraceae,6.302,0.63,0.83,0
Crepis biennis,Lapeyr.,Crepis biennis,Crepis,Asteraceae,6.614,0.822,0.84,0.134
Crepis capillaris,(L.) Wallr.,Crepis capillaris,Crepis,Asteraceae,2.102,0.528,0.074,0.074
Crepis conyzifolia,(Gouan) A.Kern.,Crepis conyzifolia,Crepis,Asteraceae,6.324,1.03,0.611,0.045
Crepis mollis,(Jacq.) Asch.,Crepis mollis,Crepis,Asteraceae,2.816,0.57,0.173,0.055
Crepis praemorsa,(L.) Turcz.,Crepis praemorsa,Crepis,Asteraceae,1.684,0.466,0.147,0.094
Crepis pulchra,L.,Crepis pulchra,Crepis,Asteraceae,4.2,0.486,0.393,0.06
Crepis setosa,Haller f.,Crepis setosa,Crepis,Asteraceae,4.622,0.528,0.308,0.074
Crepis tectorum,L.,Crepis tectorum,Crepis,Asteraceae,2.67,0.422,0.438,0.074
Crepis vesicaria subsp. taraxacifolia,(Thuill.) Thell.,Crepis vesicaria subsp. taraxacifolia,Crepis,Asteraceae,6.408,0.486,0.658,0.06
Cuscuta epilinum,Weihe,Cuscuta epilinum,Cuscuta,Convolvulaceae,1.262,1.05,0.074,0
Cuscuta europaea,L.,Cuscuta europaea,Cuscuta,Convolvulaceae,1.114,0.948,0.094,0.074
Cuscuta gronovii,Willd. ex Roem. & Schult.,Cuscuta gronovii,Cuscuta,Convolvulaceae,2.752,2.438,0.19,0.087
Cuscuta lupuliformis,Krock.,Cuscuta lupuliformis,Cuscuta,Convolvulaceae,2.818,2.438,0.156,0.138
Cydonia oblonga,Mill.,Cydonia oblonga,Cydonia,Rosaceae,7.878,4.56,0.454,0.538
Cymbalaria muralis,"P.Gaertn., B.Mey. & Scherb.",Cymbalaria muralis,Cymbalaria,Plantaginaceae,0.948,0.82,0.074,0.045
Cynoglossum officinale,L.,Cynoglossum officinale,Cynoglossum,Boraginaceae,7.982,6.388,0.686,0.448
Pycreus flavescens,(L.) P.Beauv. ex Rchb.,Cyperus flavescens,Pycreus,Cyperaceae,1.188,0.696,0.21,0.041
Cyperus fuscus,L.,Cyperus fuscus,Cyperus,Cyperaceae,0.9,0.45,0.037,0.021
Cytisus decumbens,(Durande) Spach,Cytisus decumbens,Cytisus,Fabaceae,3.696,2.124,0.311,0.25
Cytisus purpureus,Scop.,Cytisus purpureus,Cytisus,Fabaceae,3.426,3.048,0.243,0.127
Cytisus ratisbonensis,Schaeff.,Cytisus ratisbonensis,Cytisus,Fabaceae,3.13,2.416,0.186,0.364
Danthonia decumbens,(L.) DC.,Danthonia decumbens,Danthonia,Poaceae,5.504,1.724,0.356,0.19
Daphne cneorum,L.,Daphne cneorum,Daphne,Thymelaeaceae,4.098,3.192,0.195,0.094
Datura stramonium,L.,Datura stramonium,Datura,Solanaceae,3.51,2.92,0.191,0.238
Delphinium elatum,L.,Delphinium elatum,Delphinium,Ranunculaceae,3.318,2.08,0.176,0.186
Cardamine bulbifera,(L.) Crantz,Dentaria bulbifera,Cardamine,Brassicaceae,2.92,1.78,0.115,0.164
Cardamine enneaphyllos,(L.) Crantz,Dentaria enneaphyllos,Cardamine,Brassicaceae,3.49,2.312,0.407,0.074
Deschampsia cespitosa,(L.) P.Beauv.,Deschampsia cespitosa,Deschampsia,Poaceae,1.316,0.498,0.142,0.073
Deschampsia flexuosa,(L.) Trin.,Deschampsia flexuosa,Deschampsia,Poaceae,2.572,0.824,0.693,0.09
Deschampsia media,(Gouan) Roem. & Schult.,Deschampsia media,Deschampsia,Poaceae,1.63,0.64,0.104,0.074
Deschampsia setacea,(Huds.) Hack.,Deschampsia setacea,Deschampsia,Poaceae,1.262,0.486,0.131,0.06
Descurainia sophia,(L.) Webb ex Prantl,Descurainia sophia,Descurainia,Brassicaceae,1.12,0.61,0.06,0.04
Dianthus armeria,L.,Dianthus armeria,Dianthus,Caryophyllaceae,1.27,0.786,0.045,0.035
Dianthus carthusianorum,L.,Dianthus carthusianorum,Dianthus,Caryophyllaceae,1.992,1.458,0.155,0.139
Dianthus deltoides,L.,Dianthus deltoides,Dianthus,Caryophyllaceae,1.55,1.002,0.092,0.05
Dianthus glacialis,Haenke,Dianthus glacialis,Dianthus,Caryophyllaceae,1.684,1.094,0.15,0.06
Dianthus gratianopolitanus,Vill.,Dianthus gratianopolitanus,Dianthus,Caryophyllaceae,2.83,1.78,0.297,0.148
Dianthus seguieri,Vill.,Dianthus seguieri,Dianthus,Caryophyllaceae,2.504,1.766,0.188,0.173
Dianthus superbus,L.,Dianthus superbus,Dianthus,Caryophyllaceae,1.798,1.406,0.279,0.274
Dictamnus albus,L.,Dictamnus albus,Dictamnus,Rutaceae,4.462,3.44,0.112,0.159
Digitalis grandiflora,Mill.,Digitalis grandiflora,Digitalis,Plantaginaceae,1.072,0.654,0.049,0.088
Digitalis lanata,Ehrh.,Digitalis lanata,Digitalis,Plantaginaceae,1.494,0.946,0.088,0.105
Digitalis lutea,L.,Digitalis lutea,Digitalis,Plantaginaceae,1.368,0.906,0.131,0.119
Digitalis purpurea,L.,Digitalis purpurea,Digitalis,Plantaginaceae,0.84,0.53,0,0
Digitaria sanguinalis,(L.) Scop.,Digitaria sanguinalis,Digitaria,Poaceae,2.96,0.93,0.204,0.115
Diplotaxis muralis,(L.) DC.,Diplotaxis muralis,Diplotaxis,Brassicaceae,1.18,0.76,0.045,0.045
Diplotaxis tenuifolia,(L.) DC.,Diplotaxis tenuifolia,Diplotaxis,Brassicaceae,0.984,0.728,0.079,0.074
Dipsacus fullonum,L.,Dipsacus fullonum,Dipsacus,Caprifoliaceae,4.852,1.576,0.187,0.105
Dipsacus laciniatus,L.,Dipsacus laciniatus,Dipsacus,Caprifoliaceae,5.672,1.768,0.385,0.114
Dipsacus pilosus,L.,Dipsacus pilosus,Dipsacus,Caprifoliaceae,3.678,1.642,0.127,0.093
Dipsacus sativus,(L.) Honck.,Dipsacus sativus,Dipsacus,Caprifoliaceae,4.39,1.536,0.116,0.119
Doronicum glaciale,(Wulfen) Nyman,Doronicum glaciale,Doronicum,Asteraceae,2.692,1.114,0.142,0.139
Doronicum grandiflorum,Lam.,Doronicum grandiflorum,Doronicum,Asteraceae,3.95,1.092,0.189,0.094
Draba aizoides,L.,Draba aizoides,Draba,Brassicaceae,1.598,1.01,0.087,0.055
Draba dubia,Suter,Draba dubia,Draba,Brassicaceae,1.242,0.76,0.087,0.045
Draba fladnizensis,Wulfen,Draba fladnizensis,Draba,Brassicaceae,1.282,0.78,0.114,0.055
Draba hoppeana,Rchb.,Draba hoppeana,Draba,Brassicaceae,1.22,0.864,0.121,0.088
Draba muralis,L.,Draba muralis,Draba,Brassicaceae,0.84,0.57,0,0.055
Draba siliquosa,M.Bieb.,Draba siliquosa,Draba,Brassicaceae,0.97,0.53,0.045,0
Draba tomentosa,Clairv.,Draba tomentosa,Draba,Brassicaceae,1.24,0.78,0.045,0.055
Dracocephalum ruyschiana,L.,Dracocephalum ruyschiana,Dracocephalum,Lamiaceae,3.362,1.936,0.198,0.094
Drosera anglica,Huds.,Drosera longifolia,Drosera,Droseraceae,1.25,0.43,0.075,0.04
Drosera rotundifolia,L.,Drosera rotundifolia,Drosera,Droseraceae,1.52,0.244,0.221,0.055
Echium vulgare,L.,Echium vulgare,Echium,Boraginaceae,2.606,1.622,0.135,0.094
Elatine hexandra,(Lapierre) DC.,Elatine hexandra,Elatine,Elatinaceae,0.664,0.256,0.025,0.032
Empetrum nigrum,L.,Empetrum nigrum,Empetrum,Ericaceae,1.914,1.432,0.088,0.093
Empetrum nigrum subsp. hermaphroditum,(Hagerup) Böcher,Empetrum nigrum subsp. hermaphroditum,Empetrum,Ericaceae,2.248,1.452,0.139,0.087
Epilobium alpestre,(Jacq.) Krock.,Epilobium alpestre,Epilobium,Onagraceae,1.64,0.632,0.055,0.074
Epilobium alsinifolium,Vill.,Epilobium alsinifolium,Epilobium,Onagraceae,1.702,0.542,0.049,0.049
Epilobium anagallidifolium,Lam.,Epilobium anagallidifolium,Epilobium,Onagraceae,1.03,0.42,0.045,0
Epilobium ciliatum,Raf.,Epilobium ciliatum,Epilobium,Onagraceae,1.2,0.53,0.055,0
Epilobium dodonaei,Vill.,Epilobium dodonaei,Epilobium,Onagraceae,1.298,0.44,0.058,0.042
Epilobium fleischeri,Hochst.,Epilobium fleischeri,Epilobium,Onagraceae,1.536,0.53,0.06,0
Epilobium hirsutum,L.,Epilobium hirsutum,Epilobium,Onagraceae,0.998,0.528,0.066,0.038
Epilobium tetragonum subsp. lamyi,(F.W.Schultz) Nyman,Epilobium lamyi,Epilobium,Onagraceae,1.05,0.464,0,0.06
Epilobium lanceolatum,Sebast. & Mauri,Epilobium lanceolatum,Epilobium,Onagraceae,1.09,0.46,0.06,0.06
Epilobium montanum,L.,Epilobium montanum,Epilobium,Onagraceae,1.118,0.478,0.027,0.072
Epilobium palustre,L.,Epilobium palustre,Epilobium,Onagraceae,1.312,0.33,0.178,0.089
Epilobium parviflorum,Schreb.,Epilobium parviflorum,Epilobium,Onagraceae,0.81,0.352,0.112,0.048
Epilobium roseum,(Schreb.) Schreb.,Epilobium roseum,Epilobium,Onagraceae,0.906,0.484,0.06,0.094
Epilobium tetragonum,L.,Epilobium tetragonum,Epilobium,Onagraceae,0.466,0.252,0.072,0.046
Eragrostis minor,Host,Eragrostis minor,Eragrostis,Poaceae,0.646,0.414,0.066,0.067
Erica herbacea,L.,Erica carnea,Erica,Ericaceae,0.718,0.608,0.049,0.049
Erica tetralix,L.,Erica tetralix,Erica,Ericaceae,0.398,0.286,0.018,0.022
Erigeron acris,L.,Erigeron acris,Erigeron,Asteraceae,2.02,0.354,0.279,0.085
Erigeron alpinus,L.,Erigeron alpinus,Erigeron,Asteraceae,2.544,0.612,0.139,0.087
Erigeron atticus,Vill.,Erigeron atticus,Erigeron,Asteraceae,2.732,0.61,0.074,0.045
Erigeron schleicheri,Gremli,Erigeron gaudinii,Erigeron,Asteraceae,2.376,0.564,0.193,0.06
Erigeron neglectus,A.Kern.,Erigeron neglectus,Erigeron,Asteraceae,2.374,0.53,0.139,0
Erigeron uniflorus,L.,Erigeron uniflorus,Erigeron,Asteraceae,2.48,0.57,0.121,0.055
Erinus alpinus,L.,Erinus alpinus,Erinus,Plantaginaceae,0.652,0.442,0.049,0.049
Eriophorum angustifolium,Honck.,Eriophorum angustifolium,Eriophorum,Cyperaceae,2.99,1.214,0.337,0.145
Eriophorum gracile,Koch,Eriophorum gracile,Eriophorum,Cyperaceae,2.16,0.592,0.119,0.051
Eriophorum vaginatum,L.,Eriophorum vaginatum,Eriophorum,Cyperaceae,2.444,1.392,0.199,0.209
Erodium moschatum,(L.) L'Hér.,Erodium moschatum,Erodium,Geraniaceae,16.592,1.368,0.774,0.198
Erophila verna,(L.) DC.,Erophila verna,Erophila,Brassicaceae,0.718,0.442,0.049,0.049
Eruca vesicaria,(L.) Cav.,Eruca sativa,Eruca,Brassicaceae,2,1.516,0.148,0.094
Erucastrum gallicum,(Willd.) O.E.Schulz,Erucastrum gallicum,Erucastrum,Brassicaceae,1.18,0.82,0.045,0.045
Erysimum cheiranthoides,L.,Erysimum cheiranthoides,Erysimum,Brassicaceae,1.242,0.736,0.091,0.047
Erysimum crepidifolium,Rchb.,Erysimum crepidifolium,Erysimum,Brassicaceae,1.514,0.76,0.06,0.045
Erysimum odoratum,Ehrh.,Erysimum odoratum,Erysimum,Brassicaceae,1.682,0.884,0.166,0.216
Euonymus europaeus,L.,Euonymus europaea,Euonymus,Celastraceae,6.996,4.56,0.706,0.464
Euphorbia amygdaloides,L.,Euphorbia amygdaloides,Euphorbia,Euphorbiaceae,2.88,2.058,0.121,0.094
Euphorbia cyparissias,L.,Euphorbia cyparissias,Euphorbia,Euphorbiaceae,2.178,1.488,0.169,0.07
Euphorbia esula,L.,Euphorbia esula,Euphorbia,Euphorbiaceae,3.362,2.04,0.195,0.055
Euphorbia exigua,L.,Euphorbia exigua,Euphorbia,Euphorbiaceae,2.438,1.492,0.172,0.049
Euphorbia helioscopia,L.,Euphorbia helioscopia,Euphorbia,Euphorbiaceae,2.246,1.884,0.156,0.043
Euphorbia lathyris,L.,Euphorbia lathyris,Euphorbia,Euphorbiaceae,5.38,4.056,0.189,0.119
Euphorbia lucida,Waldst. & Kit.,Euphorbia lucida,Euphorbia,Euphorbiaceae,3.172,2.334,0.213,0.088
Euphorbia palustris,L.,Euphorbia palustris,Euphorbia,Euphorbiaceae,3.236,2.734,0.139,0.105
Euphorbia peplus,L.,Euphorbia peplus,Euphorbia,Euphorbiaceae,1.68,1.01,0,0.055
Euphorbia platyphyllos,L.,Euphorbia platyphyllos,Euphorbia,Euphorbiaceae,2.228,1.806,0.104,0.038
Euphorbia verrucosa,L.,Euphorbia verrucosa,Euphorbia,Euphorbiaceae,2.074,1.502,0.204,0.149
Euphrasia frigida,Pugsley,Euphrasia frigida,Euphrasia,Orobanchaceae,1.85,0.78,0.121,0.055
Euphrasia minima,Schloss.,Euphrasia minima,Euphrasia,Orobanchaceae,1.516,0.55,0.143,0.045
Euphrasia rostkoviana,Hayne,Euphrasia rostkoviana,Euphrasia,Orobanchaceae,1.66,0.74,0.155,0
Euphrasia salisburgensis,Funck ex Hoppe,Euphrasia salisburgensis,Euphrasia,Orobanchaceae,2.036,0.76,0.059,0.045
Fagopyrum esculentum,Moench,Fagopyrum esculentum,Fagopyrum,Polygonaceae,5.958,3.982,0.531,0.216
Fagopyrum tataricum,(L.) Gaertn.,Fagopyrum tataricum,Fagopyrum,Polygonaceae,5.23,3.214,0.116,0.252
Falcaria vulgaris,Bernh.,Falcaria vulgaris,Falcaria,Apiaceae,4.076,0.968,0.226,0.087
Festuca altissima,All.,Festuca altissima,Festuca,Poaceae,3.312,0.704,0.237,0.067
Festuca filiformis,Pourr.,Festuca filiformis,Festuca,Poaceae,3.448,0.758,0.175,0.044
Filipendula ulmaria,(L.) Maxim.,Filipendula ulmaria,Filipendula,Rosaceae,3.108,1.514,0.176,0.16
Filipendula vulgaris,Moench,Filipendula vulgaris,Filipendula,Rosaceae,3.846,1.766,0.157,0.088
Foeniculum vulgare,Mill.,Foeniculum vulgare,Foeniculum,Apiaceae,7.92,3.384,0.57,0.274
Fragaria vesca,L.,Fragaria vesca,Fragaria,Rosaceae,1.244,0.916,0.095,0.119
Fraxinus excelsior,L.,Fraxinus excelsior,Fraxinus,Oleaceae,15.072,3.718,0.626,0.093
Fritillaria meleagris,L.,Fritillaria meleagris,Fritillaria,Liliaceae,5.422,3.992,0.468,0.245
Fumaria officinalis,L.,Fumaria officinalis,Fumaria,Papaveraceae,2.004,1.952,0.313,0.219
Gagea lutea,(L.) Ker Gawl.,Gagea lutea,Gagea,Liliaceae,2.608,1.706,0.156,0.115
